time(st),time(ed),type,severity
137.8,138.8,hole,4
143.8,144.8,hole,4
151,154,hole,3
155.5,166.5,hole,4
174.5,175.5,hole,4
199,200,hole,3
205,206,hole,3
209.5,211.5,hole,3
220.5,226.5,hole,4
226.5,227.5,hole,4
227.5,229,hole,4
232.5,233.5,hole,2
250,253,hole,4
253,255,hole,2
259.8,260.8,hole,3
266,271,hole,2
275.5,276.5,hole,3
277.5,279,hole,2
284,285,hole,2
290,291.2,hole,4
305.5,306.5,hole,2
310.7,311.3,hole,3
315.4,316.4,hole,3
321,326,hole,3
350.5,352.5,hole,4
357.5,358.5,hole,2
404.5,405.5,hole,3
408,408.5,hole,2
411,411.5,hole,2
415.5,417.5,hole,2
423,423.5,hole,2
469.5,474.5,hole,2
476,476.5,hole,2
527,529,hole,2
553,557,hole,1
619.5,620.5,hole,2
627.5,629,hole,2
630.3,631.2,hole,4
632.5,633.5,hole,2
636.5,638,hole,3
639.5,640.5,hole,1
644.5,649,hole,2
655.5,664.5,hole,2
670.3,672.8,hole,2
728,729,hole,3
729.5,730.5,hole,1
746,748,hole,2
845.5,846.5,hole,1
891,892.5,hole,1
