time(st),time(ed),type,severity
3,5,hole,2
10,12,hole,2
37,38,hole,1
61.2,63.2,hole,2
138,139,hole,1
146.7,147.3,hole,1
194,195,hole,3
210.5,211.5,hole,5
221.2,222,hole,2
227.5,228.5,hole,1
655,656.5,hole,2
670,671.5,hole,2
676.8,679.5,hole,2
684,688,hole,2
689.5,692.5,hole,2
694,695.5,hole,1
695.7,699,hole,2
700,702.5,hole,2
707.5,709,hole,2
713.5,715,hole,1
721,729,hole,1
740.2,741.2,hole,2
745.7,747.5,hole,2
760.8,763.2,hole,2
787,790,hole,3
802,806,hole,2
815.5,817.5,hole,2
850,851.3,hole,1
876.5,878,hole,2
888,890,hole,2
940,941,hole,1
946.5,948,hole,1
